npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
407,476,4074760260,Roof Top Services of Central FL,37 N Orange Ave Ste 535,Orlando,FL,32801,,,RR-027
407,477,4074772823,Castle Roofing Group,505 Suggs Rd,Apopka,FL,32703,APOPKA,,RR-163
407,498,4074984794,Ron's Roofing & Rain Gutters,25 13th St,Saint Cloud,FL,34769,ST CLOUD,,RR-216
407,498,4074983900,TSK Exteriors,1609 13th St,Saint Cloud,FL,34769,ST CLOUD,,RR-206
407,519,4075193382,ProFormance Roofing (Apopka),2041 N Hiawassee Rd,Apopka,FL,32703,APOPKA,,RR-166
407,521,4075211601,William John Associates,,Winter Garden,FL,34787,WINTER GARDEN,,RR-116
407,540,4075401401,G & A Certified South Roofing,1323 Connecticut Ave,Saint Cloud,FL,34769,ST CLOUD,,RR-208
407,542,4075425903,Pro Roofing & Associate Inc,2895 S Orlando Dr,Sanford,FL,32773,SANFORD,,RR-149
407,542,4075423609,Sunrise Roofing Services,2200 S French Ave,Sanford,FL,32771,SANFORD,,RR-144
407,543,4075430554,KD Roofing,1890 State Road 436,Winter Park,FL,32792,WINTER PARK,,RR-077
407,543,4075437426,Sunstate Roofs Inc,171 Oakwood Way,Winter Park,FL,32789,WINTER PARK,,RR-072
407,546,4075463536,Roofing Company Winter Park (verify),1127 Solana Ave,Winter Park,FL,32789,WINTER PARK; verify,,RR-091
407,559,4075593536,G&A Certified Roofing North,3500 Aloma Ave Ste G-50,Winter Park,FL,32792,WINTER PARK,,RR-079
407,565,4075652537,RACS Roofing & Construction Solutions,2745 W Fairbanks Ave Ste 205,Winter Park,FL,32789,WINTER PARK,,RR-066
407,568,4075687702,Orange County Roofing,19867 Old Lake Pickett Rd,Orlando,FL,32820,,,RR-035
407,574,4075745003,T Mark Roofing Inc,3665 S Orlando Dr,Sanford,FL,32773,SANFORD,,RR-150
407,575,4075750022,Ocean Roofing of Florida,4327 S Highway 27,Clermont,FL,34711,CLERMONT,,RR-128
407,580,4075801036,FRS Flat Roofing,5660 Brighton Park Ln,Orlando,FL,32839,,,RR-025
407,592,4075927360,Megram Construction Roofing,400 W State Road 434 Ste 1016,Oviedo,FL,32765,OVIEDO,,RR-225
407,593,4075930075,Ramflas Roofing Services,2014 Jaffa Dr,Saint Cloud,FL,34771,ST CLOUD,,RR-217
407,595,4075952602,C Sterling Quality Roofing Inc,784 Harold Ave,Winter Park,FL,32789,WINTER PARK,,RR-054
407,599,4075998346,C Sterling Quality Roofing (line 2),535 N Park Ave,Winter Park,FL,32789,WINTER PARK alt line,,RR-093
407,600,4076000396,Centaur Roofing & Construction,1750 W Broadway St Ste 106,Oviedo,FL,32765,OVIEDO,,RR-233
407,602,4076023363,Certified Best Roofing,1065 E Broadway St,Oviedo,FL,32765,OVIEDO,,RR-222
407,607,4076079135,Roof Over America,1951 Palmer Ave,Winter Park,FL,32792,WINTER PARK,,RR-070
407,607,4076074856,The Roofing Doctor,941 W Morse Blvd Ste 100,Winter Park,FL,32789,WINTER PARK,,RR-071
407,617,4076171717,B2 Exterior Solutions,,Orlando,FL,32836,PRIORITY 32836,,RR-002
407,625,4076255866,Stratus Roofing,1081 9th St,Winter Garden,FL,34787,,,RR-051
407,625,4076259738,Weathertite Coatings Inc,755 Oakland Hills Cir Unit 109,Lake Mary,FL,32746,LAKE MARY,,RR-194
407,628,4076284688,Govu Inc,151 S New York Ave,Winter Park,FL,32789,WINTER PARK,,RR-068
407,628,4076289590,Leonhard Roofing,151 S New York Ave,Winter Park,FL,32789,WINTER PARK,,RR-067
407,637,4076375339,Sheegog Contracting,5526 Lake Howell Rd,Winter Park,FL,32792,WINTER PARK,,RR-059
407,647,4076479420,Carroll Bradford Roofing,1925 Prospect Ave Ste 210,Orlando,FL,32814,,,RR-036
407,648,4076481772,All American Roofing North,15 S Dollins Ave,Orlando,FL,32805,WINTER GARDEN svc,,RR-114
407,648,4076488009,Florida Universal Roofing Inc,1808 Acme St,Orlando,FL,32805,,,RR-022
407,650,4076500013,Hodges Brothers Roofing,501 Hames Ave,Orlando,FL,32805,,,RR-021
